Date,SKU,Name,Brand,Avg Rating,Rating Count,Sponsor,Price,Sales Price,Express,Rank,Link,Delivery
06-Oct-2024,Z288231E,5-pairs-yoga-socks-for-women-non-slip-grips-straps-non-slip-socks-for-yoga-pilates-ideal-for-pilates-ballet-dance-barefoot-workout,RIOXS,5.0,1,N,99,46.05,Y,145,https://www.noon.com/uae-en/5-pairs-yoga-socks-for-women-non-slip-grips-straps-non-slip-socks-for-yoga-pilates-ideal-for-pilates-ballet-dance-barefoot-workout/Z288231EEFD4008FE0C11Z/p/?o=z288231eefd4008fe0c11z-1,N/A
06-Oct-2024,Z532ED4B,yoga-pilates-ring-fitness-magic-circle-wrap-slimming-body-building-fitness-accessories-foamroller,Maston,5.0,1,N,39,35,Y,146,https://www.noon.com/uae-en/yoga-pilates-ring-fitness-magic-circle-wrap-slimming-body-building-fitness-accessories-foamroller/Z532ED4BF3B873929AEF6Z/p/?o=z532ed4bf3b873929aef6z-1,Get it by 7 Oct
06-Oct-2024,Z240D8A4,facial-neck-lifting-machine-white,Vitacelli,4.6,3,N,85,50,Y,147,https://www.noon.com/uae-en/facial-neck-lifting-machine-white/Z240D8A40A030A377C5B9Z/p/?o=z240d8a40a030a377c5b9z-1,N/A
06-Oct-2024,ZD289F6B,waist-twist-board-fitness-waist-twist-plate-body-sculpting-waist-twist-machine-turntable-aerobic-fitness-equipment-exercise-balance-board-abdominal-muscle-training-board-sports-equipment,GROIC,3.6,10,N,200,67.25,N,148,https://www.noon.com/uae-en/waist-twist-board-fitness-waist-twist-plate-body-sculpting-waist-twist-machine-turntable-aerobic-fitness-equipment-exercise-balance-board-abdominal-muscle-training-board-sports-equipment/ZD289F6BF478600EE2058Z/p/?o=e937a0f17e237c8e,N/A
06-Oct-2024,ZB3BECB6,peanut-ball-exercise-yoga-balance-stability-sitting-anti-burst-ball-for-labor-birthing-kids-sensory-toys-home-gym-fintness-include-pump-strap,SYOSI,3.5,3,N,N/A,81.95,Y,149,https://www.noon.com/uae-en/peanut-ball-exercise-yoga-balance-stability-sitting-anti-burst-ball-for-labor-birthing-kids-sensory-toys-home-gym-fintness-include-pump-strap/ZB3BECB6C88EAD33289D6Z/p/?o=zb3becb6c88ead33289d6z-1,Get it by 7 Oct
06-Oct-2024,N2281521,anti-burst-sports-swiss-yoga-aerobic-body-fitness-ball-65cm,Kanteen,4.4,275,N,44,32,N,150,https://www.noon.com/uae-en/anti-burst-sports-swiss-yoga-aerobic-body-fitness-ball-65cm/N22815219A/p/?o=ecdeba83617ac31e,Get it by 9 Oct
06-Oct-2024,Z455BFBB,seat-cushion-for-office-chair-tailbone-pressure-relief-cushion-coccyx-lower-back-hip-sciatica-pain-relief-pillow-memory-foam-chair-cushions-for-desk-chairs-car-seats-dark-grey,TYCOM,N/A,N/A,N,99,89,Y,151,https://www.noon.com/uae-en/seat-cushion-for-office-chair-tailbone-pressure-relief-cushion-coccyx-lower-back-hip-sciatica-pain-relief-pillow-memory-foam-chair-cushions-for-desk-chairs-car-seats-dark-grey/Z455BFBB20ECDD9C879A9Z/p/?o=z455bfbb20ecdd9c879a9z-1,Get it by 7 Oct
06-Oct-2024,N1408273,portable-pilates-yoga-belt,Kanteen,4.4,320,N,N/A,43.70,Y,152,https://www.noon.com/uae-en/portable-pilates-yoga-belt/N14082739A/p/?o=e3cb4bb50a3adedf,Get it by 7 Oct
06-Oct-2024,ZE7C9F6A,yalla-homegym-30mm-extra-thick-rubber-heavy-duty-gym-floor-mat-commercial-gym-rubber-floor-tiles-shock-absorbing-1-squared-meter-black,Yalla,N/A,N/A,N,N/A,270,N,153,https://www.noon.com/uae-en/yalla-homegym-30mm-extra-thick-rubber-heavy-duty-gym-floor-mat-commercial-gym-rubber-floor-tiles-shock-absorbing-1-squared-meter-black/ZE7C9F6AC8E92A3443C39Z/p/?o=ze7c9f6ac8e92a3443c39z-1,Get it by 9 Oct
06-Oct-2024,Z880BC16,mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-dark-green-light-green,MahMir,4.7,7,N,69.95,49.95,Y,154,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-dark-green-light-green/Z880BC1691FBB2A8BFF1FZ/p/?o=z880bc1691fbb2a8bff1fz-1,Get it by 7 Oct
06-Oct-2024,ZA3F857E,training-mat-10mm-black,Reebok,N/A,N/A,N,135,126.35,Y,155,https://www.noon.com/uae-en/training-mat-10mm-black/ZA3F857E2B1BB930A24AAZ/p/?o=za3f857e2b1bb930a24aaz-1,Get it by 7 Oct
06-Oct-2024,N1100509,pilates-ring-8ml,BODY,3.7,3,N,65,26.85,N,156,https://www.noon.com/uae-en/pilates-ring-8ml/N11005097A/p/?o=cc61861a43cbaeaf,N/A
06-Oct-2024,ZB7ECA0F,yoga-balance-wheel-18-5cm-7-3in-width-yoga-balance-circle-yoga-prop-wheel-for-yoga-poses-increasing-flexibility-yoga-stretching-wheel-non-slip-perfect-yoga-prop-for-beginner,Gerenic,N/A,N/A,N,N/A,133,Y,157,https://www.noon.com/uae-en/yoga-balance-wheel-18-5cm-7-3in-width-yoga-balance-circle-yoga-prop-wheel-for-yoga-poses-increasing-flexibility-yoga-stretching-wheel-non-slip-perfect-yoga-prop-for-beginner/ZB7ECA0F54587EF32E924Z/p/?o=zb7eca0f54587ef32e924z-1,Get it by 7 Oct
06-Oct-2024,ZA17B19F,peanut-massage-ball-double-lacrosse-ball-deep-tissue-roller-trigger-point-ball-yoga-massage-ball-bodywork-therapy-ball-for-physical-therapy-myofascial-release-muscle-relaxer-acupoint-massage,SYOSI,N/A,N/A,N,N/A,50.75,Y,158,https://www.noon.com/uae-en/peanut-massage-ball-double-lacrosse-ball-deep-tissue-roller-trigger-point-ball-yoga-massage-ball-bodywork-therapy-ball-for-physical-therapy-myofascial-release-muscle-relaxer-acupoint-massage/ZA17B19F2D469C54DD1DFZ/p/?o=za17b19f2d469c54dd1dfz-1,Get it by 7 Oct
06-Oct-2024,ZF6C53F4,yoga-balance-wheel-18-5cm-7-3in-width-yoga-balance-circle-yoga-prop-wheel-for-yoga-poses-increasing-flexibility-yoga-stretching-wheel-non-slip-perfect-yoga-prop-for-beginner,Gerenic,N/A,N/A,N,N/A,133,Y,159,https://www.noon.com/uae-en/yoga-balance-wheel-18-5cm-7-3in-width-yoga-balance-circle-yoga-prop-wheel-for-yoga-poses-increasing-flexibility-yoga-stretching-wheel-non-slip-perfect-yoga-prop-for-beginner/ZF6C53F44AEC8480A404FZ/p/?o=zf6c53f44aec8480a404fz-1,Get it by 7 Oct
06-Oct-2024,Z3BD8467,prosourcefit-weighted-toning-exercise-balls-for-pilates-8-lb-black,ProSourceFit,N/A,N/A,N,N/A,39,Y,160,https://www.noon.com/uae-en/prosourcefit-weighted-toning-exercise-balls-for-pilates-8-lb-black/Z3BD84678926436481F3EZ/p/?o=z3bd84678926436481f3ez-1,Get it by 7 Oct
